"","sort.CORRFLD...1...decreasing...TRUE."
"W",1
"PO",0.777385707038865
"C",0.734482135717524
"A",0.664934382950402
"FLDperc",0.551470778313291
"DPs",0.487040623457475
"CI",-0.0361790046043776
"CSB",-0.138800357104227
"PB",-0.187894152044972
"E",-0.247688261657692
"SBAperc",-0.408600930235499
"SBA",-0.557211852119745
