Team,YEAR,AVG,G,AB,R,H,DOUBLES,TRIPLES,HR,RBI,TB,SLGperc,BB,HBP,SO,GDP,Obperc,SF,SH,SBB,ATT,SBB-ATTperc,ERA,W,CG,SHO,CBO,SV,IP,Hallowed,Rallowed,ER,BBAllowed,SOfor,DOUBLESAllowed,TRIPLESAllowed,HRAllowed,Abagainst,AVGagainst,WP,HBPpitching,BK,SFA,SHA,C,PO,A,E,FLDperc,DPs,SBA,CSB,SBAperc,PB,CI
MSUD,2013,0.281,47,1515,260,425,84,8,30,244,615,0.406,176,41,236,28,0.367,16,26,31,39,0.795,5.62,20,6,0,0,1,375,464,287,234,196,236,70,7,13,1489,0.312,60,56,10,24,36,1736,1125,532,79,0.954,40,54,22,0.711,17,2
NMHU,2013,0.318,53,1684,355,536,105,11,25,320,738,0.438,210,68,271,30,0.411,19,41,44,75,0.587,5.81,29,11,0,0,10,423,543,331,273,142,303,103,12,22,1728,0.314,25,56,14,17,35,1917,1269,577,71,0.963,39,77,15,0.837,16,0
Regis,2013,0.338,46,1558,346,526,96,12,18,312,700,0.449,154,35,229,32,0.403,26,20,66,81,0.815,4.88,28,11,6,4,6,374.2,428,233,203,154,304,66,4,24,1472,0.291,27,36,5,9,35,1642,1124,465,53,0.968,43,30,22,0.577,7,1
ASU,2014,0.307,49,1567,284,481,91,16,30,267,694,0.443,151,36,259,26,0.376,23,35,15,31,0.484,7.93,15,8,1,0,3,374.1,567,397,330,175,229,94,16,43,1616,0.351,28,38,10,43,31,1683,1123,457,103,0.939,35,127,24,0.841,2,2
CCU,2014,0.275,48,1460,204,401,63,10,17,185,535,0.366,128,34,265,42,0.344,13,24,40,58,0.69,9.36,8,6,0,0,5,358.2,585,443,373,169,163,142,22,27,1576,0.371,57,72,15,35,23,1616,1076,451,89,0.945,43,74,22,0.771,7,1
CMU,2014,0.35,60,2025,483,709,141,19,49,439,1035,0.511,184,66,241,31,0.415,37,60,108,126,0.857,3.67,46,5,7,5,18,495.2,498,248,202,156,344,84,11,25,1892,0.263,27,49,3,17,39,2159,1487,599,73,0.966,51,37,21,0.638,1,2
CSM,2014,0.307,47,1500,277,461,68,19,12,244,603,0.402,102,55,245,23,0.369,20,29,38,63,0.603,4.88,24,7,0,0,8,369,421,247,200,135,238,75,14,24,1442,0.292,31,46,7,20,32,1624,1107,454,63,0.961,43,59,11,0.843,4,1
CSUP,2014,0.307,53,1758,347,539,104,18,26,301,757,0.431,197,55,310,42,0.389,22,30,61,85,0.718,5.53,29,3,2,1,9,434.1,534,312,267,216,311,77,13,25,1754,0.304,32,51,7,12,37,1957,1303,573,81,0.959,54,41,23,0.641,7,0
MSUD,2014,0.286,43,1342,216,384,63,7,21,189,524,0.39,105,26,243,22,0.345,21,28,36,56,0.643,5.3,14,10,3,0,4,326.1,409,252,192,133,193,81,11,15,1310,0.312,34,47,6,14,34,1478,979,431,68,0.954,48,42,22,0.656,5,1
NMHU,2014,0.322,54,1722,374,554,100,26,47,336,847,0.492,209,69,276,33,0.41,31,30,66,95,0.695,6.27,32,8,0,0,15,429,590,364,299,136,252,111,13,37,1775,0.332,46,41,8,28,31,1911,1287,546,78,0.959,44,49,35,0.583,11,2
Regis,2014,0.339,45,1505,318,510,100,16,35,280,747,0.496,114,41,225,24,0.395,24,13,61,88,0.693,7.71,20,5,1,1,3,350.1,533,369,300,129,187,89,29,38,1518,0.351,22,41,6,23,29,1621,1051,483,87,0.946,31,41,23,0.641,11,1
ASU,2015,0.302,51,1698,308,512,107,10,28,280,723,0.426,192,36,323,22,0.382,10,23,20,31,0.645,7.74,20,6,0,0,6,404.2,609,411,348,166,241,118,21,42,1748,0.348,27,40,6,15,22,1822,1214,521,87,0.952,44,80,25,0.762,20,1
CCU,2015,0.301,49,1557,269,468,94,5,20,243,632,0.406,152,47,243,30,0.376,19,35,47,70,0.671,7.65,14,3,1,1,3,381.1,547,373,324,206,235,107,20,45,1596,0.343,52,68,10,36,21,1688,1144,472,72,0.957,42,77,21,0.786,13,0
CMU,2015,0.344,57,1925,460,663,133,18,55,412,997,0.518,193,51,349,22,0.413,27,47,68,95,0.716,3.64,47,6,5,3,9,469.1,492,254,190,150,393,78,9,20,1822,0.27,37,29,4,18,39,2096,1408,608,80,0.962,54,46,16,0.742,2,4
CSM,2015,0.311,44,1471,292,457,90,8,34,263,665,0.452,146,44,302,25,0.384,24,13,56,69,0.812,6.07,18,7,1,1,7,351.2,484,302,237,149,261,118,4,30,1449,0.334,34,41,8,18,37,1530,1049,409,72,0.953,36,34,27,0.557,8,1
CSUP,2015,0.333,57,1827,411,608,93,21,26,371,821,0.449,229,73,302,37,0.422,28,47,71,89,0.798,4.38,41,2,1,0,15,462.1,512,269,225,211,357,80,7,26,1805,0.284,39,46,6,14,44,2050,1387,592,71,0.965,51,53,15,0.779,13,1
MSUD,2015,0.278,50,1551,254,431,88,15,34,228,651,0.42,143,52,357,26,0.355,17,40,51,68,0.75,4.69,28,7,2,1,9,403,438,245,210,157,361,73,6,36,1557,0.281,35,37,4,16,31,1755,1209,496,50,0.972,33,41,31,0.569,6,0
NMHU,2015,0.304,46,1462,287,445,95,12,40,259,684,0.468,152,49,258,20,0.384,19,23,33,53,0.623,7.37,21,3,0,0,8,361.2,498,337,296,144,250,102,19,36,1491,0.334,31,43,12,20,27,1626,1085,488,53,0.967,37,32,23,0.582,8,0
Regis,2015,0.313,50,1673,322,523,105,13,24,285,726,0.434,182,34,322,20,0.388,18,28,66,101,0.653,6.36,20,5,0,0,4,404.2,545,336,286,155,304,112,19,34,1703,0.32,49,34,13,14,26,1795,1214,508,73,0.959,36,60,20,0.75,25,4
ASU,2016,0.319,50,1733,341,553,104,16,29,320,776,0.448,183,38,317,20,0.392,20,13,28,36,0.778,7.49,22,7,1,0,4,406.1,584,397,338,212,308,124,14,40,1718,0.34,69,34,11,15,28,1823,1219,532,72,0.961,37,60,29,0.674,15,5
CCU,2016,0.267,46,1463,215,390,73,11,14,187,527,0.36,129,58,283,27,0.346,16,22,14,26,0.538,7.71,11,2,0,0,6,363,564,386,311,169,247,113,22,37,1563,0.361,39,66,10,27,26,1591,1089,431,71,0.955,33,64,24,0.727,19,0
