Team,YEAR,AVG,G,AB,R,H,DOUBLES,TRIPLES,HR,RBI,TB,SLGperc,BB,HBP,SO,GDP,Obperc,SF,SH,SBB,ATT,SBB-ATTperc,ERA,W,CG,SHO,CBO,SV,IP,Hallowed,Rallowed,ER,BBAllowed,SOfor,DOUBLESAllowed,TRIPLESAllowed,HRAllowed,Abagainst,AVGagainst,WP,HBPpitching,BK,SFA,SHA,C,PO,A,E,FLDperc,DPs,SBA,CSB,SBAperc,PB,CI
CMU,2016,0.327,56,1842,365,603,129,8,41,322,871,0.473,196,61,321,35,0.404,28,73,76,97,0.784,3.18,42,7,8,6,12,475.2,427,201,168,168,447,89,6,23,1762,0.242,26,50,6,13,34,1992,1427,516,49,0.975,47,20,15,0.571,10,2
CSM,2016,0.324,44,1453,326,471,94,14,24,278,665,0.458,148,44,254,9,0.4,12,30,40,53,0.755,5.11,29,2,0,0,11,357.2,476,248,203,154,227,69,9,31,1458,0.326,32,32,3,14,34,1600,1073,467,60,0.963,43,35,19,0.648,9,2
CSUP,2016,0.331,47,1590,320,527,106,25,44,294,815,0.513,184,19,311,24,0.404,15,25,54,71,0.761,4.93,28,5,1,1,9,394,478,277,216,132,318,95,16,34,1586,0.301,23,28,11,16,32,1738,1182,486,70,0.96,39,38,17,0.691,5,1
MSUD,2016,0.292,40,1284,216,375,84,6,37,205,582,0.453,113,37,310,7,0.361,19,22,29,39,0.744,4.99,16,5,3,1,6,324.1,382,220,180,132,240,95,13,27,1280,0.298,22,35,7,12,27,1464,973,448,43,0.971,33,27,14,0.659,12,1
NMHU,2016,0.258,48,1542,221,398,67,15,24,201,567,0.368,127,37,349,23,0.327,15,29,30,49,0.612,6.4,14,7,2,0,7,388.1,504,324,276,154,255,116,14,33,1583,0.318,36,49,10,27,28,1689,1165,470,54,0.968,43,70,17,0.805,15,0
Regis,2016,0.294,46,1468,259,432,85,12,17,230,592,0.403,136,54,284,21,0.37,21,21,48,77,0.623,5.57,20,5,2,1,5,368.1,463,286,228,144,312,74,11,37,1509,0.307,33,45,6,18,25,1632,1105,457,70,0.957,31,37,16,0.698,7,2
ASU,2017,0.294,46,1472,252,433,79,18,20,218,,,147,36,263,,,,,40,52,0.769,8.55,13,4,2,1,7,363,541,394,345,217,305,,,,,,,,,,,1608,1089,465,54,0.966,24,52,17,0.754,13,1
CCU,2017,0.312,49,1634,296,509,102,9,21,264,,,175,29,280,,,,,81,108,0.75,7.68,17,1,1,1,7,392.2,562,438,335,189,288,,,,,,,,,,,1743,1178,448,117,0.933,24,65,19,0.774,9,1
CMU,2017,0.335,62,2105,484,705,139,25,68,437,,,219,58,314,,,,,21,27,0.778,3.18,49,8,9,5,8,523,451,216,185,153,529,,,,,,,,,,,2209,1569,567,73,0.967,38,26,19,0.578,4,0
CSM,2017,0.319,54,1719,400,549,106,23,55,352,,,151,67,297,,,,,44,58,0.759,6.21,32,4,3,1,12,424.1,535,331,293,187,328,,,,,,,,,,,1822,1273,491,58,0.968,34,34,24,0.586,11,0
CSUP,2017,0.323,49,1633,329,527,84,22,15,304,,,205,29,280,,,,,50,73,0.685,6.78,23,6,1,0,9,393,536,366,296,164,302,,,,,,,,,,,1740,1179,500,61,0.965,51,39,17,0.696,16,3
MSUD,2017,0.316,52,1701,311,537,111,7,46,274,,,189,39,362,,,,,27,39,0.692,6.16,27,5,1,0,12,425,511,353,291,245,292,,,,,,,,,,,1875,1275,525,75,0.96,50,57,18,0.76,21,0
NMHU,2017,0.323,46,1544,358,499,86,21,36,327,,,172,54,291,,,,,56,74,0.757,6.79,19,3,1,1,4,360.2,526,346,272,150,237,,,,,,,,,,,1638,1082,464,92,0.944,34,51,16,0.761,13,1
Regis,2017,0.3,52,1692,338,508,116,13,52,309,,,181,59,303,,,,,37,54,0.685,6.18,26,2,2,1,9,420.2,566,331,289,142,307,,,,,,,,,,,1859,1262,532,65,0.965,46,52,17,0.754,18,0
UCCS,2017,0.307,49,1621,289,498,103,12,43,264,,,134,35,346,,,,,43,63,0.683,6.46,22,2,1,1,11,398.1,550,331,286,167,280,,,,,,,,,,,1738,1195,478,65,0.963,43,52,20,0.722,17,0
ASU,2018,0.263,50,1598,203,420,68,7,24,189,,,238,62,342,,,,,41,58,0.707,9.59,3,2,0,0,1,384.2,595,489,410,223,276,,,,,,,,,,,1652,1154,414,84,0.949,36,64,21,0.753,13,3
CSM,2018,0.317,55,1877,465,595,139,16,86,428,,,201,73,391,,,,,37,51,0.725,5.6,37,3,1,1,9,459.1,561,341,286,182,354,,,,,,,,,,,1994,1378,547,69,0.965,31,25,17,0.595,4,1
CCU,2018,0.316,46,1530,342,483,117,18,35,326,,,153,51,305,,,,,49,62,0.79,6.85,20,3,1,1,7,361.1,426,349,275,187,303,,,,,,,,,,,1535,1084,362,89,0.942,29,45,13,0.776,26,2
CMU,2018,0.339,59,2068,487,702,131,14,72,437,,,229,37,341,,,,,37,53,0.698,4.83,41,9,5,1,11,503,499,312,270,213,492,,,,,,,,,,,2086,1509,506,71,0.966,38,40,19,0.678,21,4
CSUP,2018,0.311,52,1690,358,525,117,21,33,327,,,150,48,299,,,,,40,62,0.645,6.01,26,3,1,1,6,417.2,519,336,279,208,338,,,,,,,,,,,1782,1253,467,62,0.965,43,58,16,0.784,10,1
MSUD,2018,0.292,50,1595,326,465,105,18,40,300,,,178,43,339,,,,,34,48,0.708,7.25,22,2,0,0,7,398.1,529,375,321,184,311,,,,,,,,,,,1733,1195,470,68,0.961,25,41,11,0.788,14,2
NMHU,2018,0.284,50,1617,313,459,102,14,42,293,,,201,46,353,,,,,51,68,0.75,7.81,19,12,0,0,3,400,588,433,347,193,281,,,,,,,,,,,1791,1200,499,92,0.949,43,37,16,0.698,18,0
Regis,2018,0.302,51,1676,322,506,91,11,57,287,,,199,53,329,,,,,37,49,0.755,5.8,27,4,5,4,9,414,493,292,267,181,390,,,,,,,,,,,1787,1242,499,46,0.974,33,51,11,0.823,14,0
UCCS,2018,0.294,51,1661,376,488,101,16,71,348,,,151,36,394,,,,,18,29,0.621,5.56,28,4,0,0,9,409.2,490,305,253,159,322,,,,,,,,,,,1817,1229,516,72,0.96,35,31,17,0.646,16,0
